Date : 2025-02-26 10:47:27
Directory : f:\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-
Total : 162 files,  -1207 codes, -1 comments, -27 blanks, all -1235 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Baker Lab 5\Desktop                                                                                                                                                 |         84 |    -39,207 |       -926 |     -1,864 |    -41,997 |
| c:\Users\Baker Lab 5\Desktop\GPK                                                                                                                                             |         84 |    -39,207 |       -926 |     -1,864 |    -41,997 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS                                                                                                                                       |         84 |    -39,207 |       -926 |     -1,864 |    -41,997 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-                                                                                        |         84 |    -39,207 |       -926 |     -1,864 |    -41,997 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS- (Files)                                                                                |         11 |     -1,335 |        -20 |        -34 |     -1,389 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files                                                                       |          9 |     -1,156 |       -196 |       -286 |     -1,638 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0                                                          |          8 |     -1,077 |       -189 |       -272 |     -1,538 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.2                                                            |          1 |        -79 |         -7 |        -14 |       -100 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2                                                                             |         47 |    -35,057 |       -521 |     -1,157 |    -36,735 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2 (Files)                                                                     |          2 |       -587 |        -86 |       -116 |       -789 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\Data_output                                                                 |          3 |    -25,847 |          0 |         -3 |    -25,850 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\Figures                                                                     |          1 |        -73 |         -9 |        -11 |        -93 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget                                                            |         14 |     -2,094 |       -252 |       -519 |     -2,865 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget (Files)                                                    |          8 |       -591 |        -73 |       -154 |       -818 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\assets                                                     |          1 |       -123 |        -19 |        -21 |       -163 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\ccs_v_mz_library_search_modules                            |          1 |       -357 |        -54 |        -95 |       -506 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\ccs_v_mz_modules                                           |          3 |       -695 |        -62 |       -147 |       -904 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\rt_v_mz_library_search_modules                             |          1 |       -328 |        -44 |       -102 |       -474 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\OpenMS                                                                      |          3 |       -189 |        -18 |        -42 |       -249 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\import folder                                                               |          4 |     -2,742 |          0 |         -4 |     -2,746 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\imported_libraries                                                          |          1 |         -7 |          0 |         -1 |         -8 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules                                                                     |         15 |     -1,668 |       -149 |       -446 |     -2,263 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\output                                                                      |          1 |     -1,808 |          0 |         -1 |     -1,809 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\tests                                                                       |          3 |        -42 |         -7 |        -14 |        -63 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\tests (Files)                                                               |          2 |        -42 |         -7 |        -13 |        -62 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\tests\__pycache__                                                           |          1 |          0 |          0 |         -1 |         -1 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3                                                                             |         16 |     -1,644 |       -189 |       -382 |     -2,215 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\Development Scripts                                                         |          1 |       -217 |        -35 |        -50 |       -302 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\Development Scripts\Peak Alignment                                          |          1 |       -217 |        -35 |        -50 |       -302 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\Isotopic_modeling                                                           |          4 |       -305 |        -48 |        -84 |       -437 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\Isotopic_modeling\Modules                                                   |          4 |       -305 |        -48 |        -84 |       -437 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\modules                                                                     |         10 |     -1,101 |       -106 |       -245 |     -1,452 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\styles                                                                      |          1 |        -21 |          0 |         -3 |        -24 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\Project organization                                                                   |          1 |        -15 |          0 |         -5 |        -20 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                     | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\Dockerfile                                                                             | Docker           |        -20 |         -7 |         -7 |        -34 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Blank Subtraction Workflow Script.py                     | Python           |        -35 |        -13 |        -14 |        -62 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Confusion matrix script.py                               | Python           |        -56 |        -17 |        -22 |        -95 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Detection Frequency script.py                            | Python           |        -98 |        -19 |        -32 |       -149 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Feature count script.py                                  | Python           |        -35 |        -10 |        -13 |        -58 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Feature search script.py                                 | Python           |       -475 |        -63 |        -96 |       -634 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Model development processor.py                           | Python           |       -314 |        -60 |        -74 |       -448 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\Year organization script.py                              | Python           |        -21 |         -7 |         -8 |        -36 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.1.0\setup_environment.py                                     | Python           |        -43 |          0 |        -13 |        -56 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.1 files\PIMMS v1.2\Subtracted_reader.py                                       | Python           |        -79 |         -7 |        -14 |       -100 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\Data_output\PIMMS Processed Data set test.csv                               | CSV              |         -6 |          0 |         -1 |         -7 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\Data_output\PIMMS Processed Data set.csv                                    | CSV              |       -386 |          0 |         -1 |       -387 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\Data_output\adjusted_after_blank_subtraction.csv                            | CSV              |    -25,455 |          0 |         -1 |    -25,456 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\Figures\sankey_filtering_performance.py                                     | Python           |        -73 |         -9 |        -11 |        -93 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\FluoromatchIM Processor v1.1.py                                             | Python           |       -312 |        -60 |        -74 |       -446 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\IMspector Gadget Main.py                                   | Python           |        -88 |        -15 |        -33 |       -136 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\analysis.py                                                | Python           |        -92 |        -12 |        -32 |       -136 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\app.py                                                     | Python           |        -25 |         -8 |        -15 |        -48 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\app_layout.py                                              | Python           |        -96 |         -9 |         -4 |       -109 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\assets\styles.css                                          | CSS              |       -123 |        -19 |        -21 |       -163 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\callbacks.py                                               | Python           |       -128 |        -13 |        -24 |       -165 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\ccs_v_mz_library_search_modules\library_search_module.py   | Python           |       -357 |        -54 |        -95 |       -506 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\ccs_v_mz_modules\CCS_mz_trend_analysis.py                  | Python           |       -209 |        -20 |        -52 |       -281 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\ccs_v_mz_modules\dash_formatting.py                        | Python           |        -26 |          0 |         -3 |        -29 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\ccs_v_mz_modules\plotly_graphing.py                        | Python           |       -460 |        -42 |        -92 |       -594 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\config.py                                                  | Python           |        -20 |         -6 |         -8 |        -34 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\data_processing.py                                         | Python           |        -18 |          0 |         -5 |        -23 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\graphing.py                                                | Python           |       -124 |        -10 |        -33 |       -167 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\IMspector Gadget\rt_v_mz_library_search_modules\rt_v_mz_library_searcher.py | Python           |       -328 |        -44 |       -102 |       -474 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\Main.py                                                                     | Python           |       -275 |        -26 |        -42 |       -343 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\OpenMS\2D_spectrum_import.py                                                | Python           |        -47 |         -9 |        -15 |        -71 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\OpenMS\Testing_OpenMS.py                                                    | Python           |        -75 |         -7 |        -23 |       -105 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\OpenMS\mzML file creator.py                                                 | Python           |        -67 |         -2 |         -4 |        -73 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\import folder\Baker_Group_RPLC_DTIMS_MS_PFAS_Library_Negative.csv           | CSV              |       -120 |          0 |         -1 |       -121 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\import folder\Kauffman_M-H_external_PFAS_library_mz_only.csv                | CSV              |     -2,587 |          0 |         -1 |     -2,588 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\import folder\Library test file 1.csv                                       | CSV              |         -5 |          0 |         -1 |         -6 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\import folder\MPFAC HIF ES SIL peaks.csv                                    | CSV              |        -30 |          0 |         -1 |        -31 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\imported_libraries\Library test file 1.csv                                  | CSV              |         -7 |          0 |         -1 |         -8 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\ML_algorithm_density.py                                             | Python           |        -14 |          0 |         -3 |        -17 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\Standard_library_scoring.py                                         | Python           |       -203 |         -3 |        -58 |       -264 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\Testing_OpenMS.py                                                   | Python           |        -75 |         -7 |        -23 |       -105 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\_init_.py                                                           | Python           |          0 |          0 |         -1 |         -1 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\blank_subtraction.py                                                | Python           |       -511 |        -63 |       -120 |       -694 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\blank_subtraction_workflow.py                                       | Python           |        -58 |         -1 |        -18 |        -77 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\branching_filter.py                                                 | Python           |       -117 |         -7 |        -36 |       -160 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\crude_filters.py                                                    | Python           |        -75 |         -6 |        -28 |       -109 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\detection_frequency_filter.py                                       | Python           |        -36 |         -4 |        -15 |        -55 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\gui_module.py                                                       | Python           |       -112 |        -17 |        -30 |       -159 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\mass_defect_filter.py                                               | Python           |        -19 |         -3 |         -7 |        -29 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\monoisotopic_grouper.py                                             | Python           |        -96 |         -4 |        -22 |       -122 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\plotly_graphing.py                                                  | Python           |       -279 |        -19 |        -53 |       -351 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\post_source_decay_filter.py                                         | Python           |        -39 |         -9 |        -22 |        -70 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\modules\smearing_filter.py                                                  | Python           |        -34 |         -6 |        -10 |        -50 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\output\final_adjusted_dataset.csv                                           | CSV              |     -1,808 |          0 |         -1 |     -1,809 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\tests\Dummy scored data.csv                                                 | CSV              |         -6 |          0 |         -1 |         -7 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\tests\__pycache__\_init_.py                                                 | Python           |          0 |          0 |         -1 |         -1 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.2\tests\test_remove_post_source_decay.py                                      | Python           |        -36 |         -7 |        -12 |        -55 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\Development Scripts\Peak Alignment\Debugging alignment.py                   | Python           |       -217 |        -35 |        -50 |       -302 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\Isotopic_modeling\Modules\Atomic_weight_importing.py                        | Python           |        -79 |        -18 |        -29 |       -126 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\Isotopic_modeling\Modules\Example binary search tool.py                     | Python           |        -71 |        -14 |        -22 |       -107 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\Isotopic_modeling\Modules\Resolving_power.py                                | Python           |          0 |          0 |         -1 |         -1 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\Isotopic_modeling\Modules\monoisotopic_peak_puller.py                       | Python           |       -155 |        -16 |        -32 |       -203 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\modules\Align_peaks_algorithm.py                                            | Python           |       -148 |        -26 |        -37 |       -211 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\modules\auto_reload.py                                                      | Python           |        -30 |          0 |         -8 |        -38 |
| c:\Users\Baker Lab 5\Desktop\GPK\PIMMS\PFAS-IMplementor-for-Mass-Spectrometry--PIMMS-\PIMMS v1.3\modules\blank_subtraction.py                                                | Python           |        -43 |         -6 |        -12 |        -61 |
