"Score","SeriesType_Identifier","Name_or_Class","Formula","SMILES","m/z","Retention Time","Adduct","Unique","Score_Description","Needs_Validation","row.ID","DT","CCS","Z","Ions","Freq.","Q.Score","Sat.","Mark","X150.B2.6915.d.DeMP","ID_Ranked","nominal mass","mass defect","[CF2]n_Kendrick_mass","[CF2]n_nominal_Kendrick_mass","[CF2]n_Kendrick_mass_defect","[CF2]n_KMD_Group","[CF2]n_homologous_series","[CF2]n_Homologous_series_count","[CF2]n_MD_Filter","[CF2]n_RT_series","[CF2]n_DT_series","Confident_ID","2+_homologous_series","3+_homologous_series","Exact_mass_match","Score","Score_Description","Checked_Viz","TRUE_Viz","Class_Viz","Cnumb_Viz","Comment_Viz"
"C+","[CF2]n_341","PFPrA|(M-H-CO2)-|DTXSID10892478|CAS=44864-55-3","C3HF5O2","OC(=O)C(F)(F)C(F)(F)F"," 118.9894","1.741",NA,"Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes"," 9112","18.556"," 149.03","-1"," 1"," 7"," 99.5",NA,"False","8.389990e+02","4_PFPrA|(M-H-CO2)-|DTXSID10892478|CAS=44864-55-3;C3HF5O2;OC(=O)C(F)(F)C(F)(F)F | 4_PFPrA|(M-H-CO2)-|DTXSID10892478|CAS=44864-55-3;C3HF5O2;OC(=O)C(F)(F)C(F)(F)F","119","-0.0105999999999966","118.997000481217","119","-0.00299951878285754","49","341","13","TRUE","RT ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","","","",""
"C+","[CF2]n_341","PFPrA|(M-H-CO2)-|DTXSID10892478|CAS=44864-55-3","C3HF5O2","OC(=O)C(F)(F)C(F)(F)F"," 118.9905","1.158",NA,"Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes"," 5436","14.833"," 119.01","-1"," 1","21"," 99.8",NA,"False","3.399252e+02","4_PFPrA|(M-H-CO2)-|DTXSID10892478|CAS=44864-55-3;C3HF5O2;OC(=O)C(F)(F)C(F)(F)F | 4_PFPrA|(M-H-CO2)-|DTXSID10892478|CAS=44864-55-3;C3HF5O2;OC(=O)C(F)(F)C(F)(F)F","119","-0.00950000000000273","118.99810055148","119","-0.00189944852004942","49","341","13","TRUE","RT ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","","","",""
"C+","[CF2]n_341","PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4","C4HF7O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)F"," 168.9859","1.738",NA,"Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes"," 5578","20.913"," 163.23","-1"," 1"," 8"," 98.3",NA,"False","1.334999e+03","4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F | 4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F","169","-0.0141000000000133","168.996694021643","169","-0.00330597835682056","49","341","13","TRUE","RT ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","","","",""
"C+","[CF2]n_341","PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4","C4HF7O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)F"," 168.9861","2.332",NA,"Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes","12248","21.997"," 171.72","-1"," 1"," 7"," 97.6",NA,"False","3.398890e+02","4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F | 4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F","169","-0.0139000000000067","168.996894034418","169","-0.0031059655817387","49","341","13","TRUE","RT ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","","","",""
"C+","[CF2]n_341","PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4","C4HF7O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)F"," 168.9864","2.192",NA,"Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes"," 3928","20.834"," 162.61","-1"," 1","12"," 98.8",NA,"False","2.836515e+02","4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F | 4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F","169","-0.0135999999999967","168.997194053581","169","-0.00280594641915854","49","341","13","TRUE","RT ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","","","",""
"C+","[CF2]n_341","PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4","C4HF7O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)F"," 168.9865","1.141",NA,"Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes"," 5332","26.769"," 209.10","-1"," 1","11"," 99.2",NA,"False","8.013201e+02","4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F | 4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F","169","-0.0134999999999934","168.997294059968","169","-0.00270594003163183","49","341","13","TRUE","RT not ordered","DT not ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","","","",""
"C+","[CF2]n_341","PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4","C4HF7O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)F"," 168.9865","1.929",NA,"Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes"," 2829","19.668"," 153.47","-1"," 1","11"," 98.4",NA,"False","2.116000e+03","4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F | 4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F","169","-0.0134999999999934","168.997294059968","169","-0.00270594003163183","49","341","13","TRUE","RT ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","","","",""
"C+","[CF2]n_341","PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4","C4HF7O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)F"," 168.9866","1.738",NA,"Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes","  747","18.590"," 145.03","-1"," 3","12","100.0",NA,"False","3.007000e+04","4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F | 4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F","169","-0.0133999999999901","168.997394066356","169","-0.00260593364410511","49","341","13","TRUE","RT ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","","","",""
"C+","[CF2]n_341","PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4","C4HF7O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)F"," 168.9872","2.203",NA,"Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes","15203","19.681"," 153.58","-1"," 1"," 6"," 99.0",NA,"False","2.589990e+02","4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F | 4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F","169","-0.0127999999999986","168.997994104681","169","-0.00200589531894479","49","341","13","TRUE","RT ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","","","",""
"C+","[CF2]n_341","PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4","C4HF7O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)F"," 168.9875","1.145",NA,"Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes"," 1838","14.076"," 109.68","-1"," 2","22","100.0",NA,"False","2.012111e+02","4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F | 4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F","169","-0.0124999999999886","168.998294123844","169","-0.00170587615633622","49","341","13","TRUE","RT not ordered","DT not ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","","","",""
