"Score","SeriesType_Identifier","Name_or_Class","Formula","SMILES","m/z","Retention Time","Adduct","Unique","Score_Description","Needs_Validation","row.ID","DT","CCS","Z","Ions","Freq.","Q.Score","Sat.","Mark","X218.B3.6901.d.DeMP","ID_Ranked","nominal mass","mass defect","[CF2]n_Kendrick_mass","[CF2]n_nominal_Kendrick_mass","[CF2]n_Kendrick_mass_defect","[CF2]n_KMD_Group","[CF2]n_homologous_series","[CF2]n_Homologous_series_count","[CF2]n_MD_Filter","[CF2]n_RT_series","[CF2]n_DT_series","Confident_ID","2+_homologous_series","3+_homologous_series","Exact_mass_match","Score","Score_Description","Checked_Viz","TRUE_Viz","Class_Viz","Cnumb_Viz","Comment_Viz"
"C+","[CF2]n_364","PFPrA|(M-H-CO2)-|DTXSID10892478|CAS=44864-55-3","C3HF5O2","OC(=O)C(F)(F)C(F)(F)F"," 118.9894","1.741",NA,"Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes"," 9112","18.556"," 149.03","-1"," 1"," 7"," 99.5",NA,"False","1.342999e+03","4_PFPrA|(M-H-CO2)-|DTXSID10892478|CAS=44864-55-3;C3HF5O2;OC(=O)C(F)(F)C(F)(F)F | 4_PFPrA|(M-H-CO2)-|DTXSID10892478|CAS=44864-55-3;C3HF5O2;OC(=O)C(F)(F)C(F)(F)F","119","-0.0105999999999966","118.997000481217","119","-0.00299951878285754","49","364","13","TRUE","RT ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","","","",""
"C+","[CF2]n_364","PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4","C4HF7O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)F"," 168.9859","1.738",NA,"Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes"," 5578","20.913"," 163.23","-1"," 1"," 8"," 98.3",NA,"False","2.492999e+03","4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F | 4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F","169","-0.0141000000000133","168.996694021643","169","-0.00330597835682056","49","364","13","TRUE","RT not ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","","","",""
"C+","[CF2]n_364","PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4","C4HF7O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)F"," 168.9864","2.015",NA,"Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes"," 8604","22.154"," 172.95","-1"," 1"," 9"," 99.5",NA,"False","1.584999e+03","4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F | 4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F","169","-0.0135999999999967","168.997194053581","169","-0.00280594641915854","49","364","13","TRUE","RT ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","","","",""
"C+","[CF2]n_364","PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4","C4HF7O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)F"," 168.9864","2.192",NA,"Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes"," 3928","20.834"," 162.61","-1"," 1","12"," 98.8",NA,"False","4.886515e+02","4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F | 4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F","169","-0.0135999999999967","168.997194053581","169","-0.00280594641915854","49","364","13","TRUE","RT ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","","","",""
"C+","[CF2]n_364","PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4","C4HF7O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)F"," 168.9865","1.929",NA,"Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes"," 2829","19.668"," 153.47","-1"," 1","11"," 98.4",NA,"False","7.756000e+03","4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F | 4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F","169","-0.0134999999999934","168.997294059968","169","-0.00270594003163183","49","364","13","TRUE","RT ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","","","",""
"C+","[CF2]n_364","PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4","C4HF7O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)F"," 168.9866","1.738",NA,"Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes","  747","18.590"," 145.03","-1"," 3","12","100.0",NA,"False","4.533100e+04","4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F | 4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F","169","-0.0133999999999901","168.997394066356","169","-0.00260593364410511","49","364","13","TRUE","RT not ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","","","",""
"C+","[CF2]n_364","PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4","C4HF7O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)F"," 168.9872","2.203",NA,"Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes","15203","19.681"," 153.58","-1"," 1"," 6"," 99.0",NA,"False","1.129990e+02","4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F | 4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F","169","-0.0127999999999986","168.997994104681","169","-0.00200589531894479","49","364","13","TRUE","RT ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","","","",""
"C+","[CF2]n_364","PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4","C4HF7O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)F"," 168.9877","1.507",NA,"Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes","11378","19.550"," 152.55","-1"," 1"," 8"," 98.7",NA,"False","3.394446e+02","4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F | 4_PFBA|(M-H-CO2)-|DTXSID4059916|CAS=375-22-4;C4HF7O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)F","169","-0.0123000000000104","168.998494136619","169","-0.0015058633813112","49","364","13","TRUE","RT not ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","","","",""
"C+","[CF2]n_364","PFPeA|(M-H-CO2)-|DTXSID00892487|CAS=45167-47-3","C5HF9O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"," 218.9836","1.947",NA,"Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes"," 3972","20.885"," 160.34","-1"," 2"," 7","100.0",NA,"False","9.984446e+02","4_PFPeA|(M-H-CO2)-|DTXSID00892487|CAS=45167-47-3;C5HF9O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 4_PFPeA|(M-H-CO2)-|DTXSID00892487|CAS=45167-47-3;C5HF9O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","219","-0.0164000000000044","218.99758763872","219","-0.00241236128042033","49","364","13","TRUE","RT ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","","","",""
"C+","[CF2]n_364","PFPeA|(M-H-CO2)-|DTXSID00892487|CAS=45167-47-3","C5HF9O2","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"," 218.9839","1.980",NA,"Yes","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","Yes"," 4748","22.182"," 170.33","-1"," 1","10"," 98.5",NA,"False","3.706999e+03","4_PFPeA|(M-H-CO2)-|DTXSID00892487|CAS=45167-47-3;C5HF9O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | 4_PFPeA|(M-H-CO2)-|DTXSID00892487|CAS=45167-47-3;C5HF9O2;OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","219","-0.0160999999999945","218.997887657882","219","-0.00211234211781175","49","364","13","TRUE","RT ordered","DT ordered","FALSE","TRUE","TRUE","TRUE","C+","Lvl 5 Schymanski: Possible ID, possible PFAS: 2+ in homologous series, and at least one confident PFAS identification within homologous series (A- or higher grade)","","","","",""
